Date,Close,High,Low,Open,Volume
2024-09-13,27.25,28.0,27.25,27.5,9102900
2024-09-16,28.75,28.75,27.25,27.25,22523600
2024-09-17,28.0,29.0,27.75,29.0,10110300
2024-09-18,28.0,28.25,27.75,28.0,7332900
2024-09-19,28.25,28.25,27.25,28.0,19446100
2024-09-20,28.0,28.75,27.5,28.25,20720400
2024-09-23,27.5,28.0,27.25,28.0,9033800
2024-09-24,31.75,32.5,28.0,28.0,69375100
2024-09-25,31.75,32.75,30.75,32.0,53185300
2024-09-26,31.0,31.75,29.75,31.75,50538900
2024-09-27,31.0,31.0,31.0,31.0,0
2024-09-30,30.0,30.5,29.5,30.25,30871000
2024-10-01,30.25,30.5,29.75,30.0,17882100
2024-10-02,29.75,30.25,29.25,30.0,19647300
2024-10-03,29.0,29.75,28.75,29.5,18575500
2024-10-04,29.0,29.5,28.75,29.0,14402900
2024-10-07,29.0,29.0,29.0,29.0,0
2024-10-08,29.0,29.75,28.5,28.75,24640200
2024-10-09,28.75,29.0,28.25,29.0,14938400
2024-10-10,28.75,29.0,28.5,28.75,5579500
2024-10-11,26.75,29.5,26.75,28.75,55023200
2024-10-15,26.0,26.5,25.5,26.5,28826200
2024-10-16,26.0,26.0,26.0,26.0,0
2024-10-17,26.0,27.0,26.0,26.75,16724200
2024-10-18,25.5,26.25,25.0,25.75,44546700
2024-10-21,25.25,25.75,25.25,25.5,11200400
2024-10-22,25.25,25.25,25.25,25.25,0
2024-10-24,23.899999618530273,25.0,23.899999618530273,24.899999618530273,37571200
2024-10-25,24.0,24.399999618530273,23.899999618530273,24.100000381469727,19762100
2024-10-28,25.25,25.5,23.899999618530273,24.0,32642300
2024-10-29,25.25,25.75,25.0,25.5,16507200
2024-10-30,25.25,25.5,25.0,25.25,12050000
2024-10-31,26.0,26.5,25.25,25.25,14391200
2024-11-01,26.5,26.75,25.75,26.25,8043400
2024-11-04,26.75,27.0,26.25,26.5,8992400
2024-11-05,26.5,26.75,26.25,26.75,5604000
2024-11-06,26.25,26.75,25.5,26.5,16779700
2024-11-07,27.75,28.0,26.5,26.75,37353700
2024-11-08,27.0,27.75,26.75,27.75,16718800
2024-11-11,25.75,26.75,25.25,26.75,19321300
2024-11-12,25.25,26.0,25.0,25.5,6840100
2024-11-13,24.700000762939453,25.25,24.399999618530273,25.25,12914100
2024-11-14,24.100000381469727,24.700000762939453,24.0,24.700000762939453,21016400
2024-11-15,24.100000381469727,24.200000762939453,23.700000762939453,24.0,12658700
2024-11-18,25.0,25.25,24.200000762939453,24.299999237060547,18072000
2024-11-19,25.5,26.0,25.0,25.25,16192700
2024-11-20,25.25,26.0,25.25,25.5,11253900
2024-11-21,25.75,26.0,25.5,25.75,8680800
2024-11-22,25.75,26.25,25.75,26.0,7280100
2024-11-25,25.5,26.25,25.25,25.75,18599500
2024-11-26,25.5,26.0,25.25,25.75,7616000
2024-11-27,25.25,25.75,25.0,25.5,7066500
2024-11-28,25.0,25.5,24.700000762939453,25.25,12462800
2024-11-29,25.25,25.5,24.600000381469727,25.0,11231700
2024-12-02,25.25,25.25,24.600000381469727,25.25,17852300
2024-12-03,25.5,25.5,24.799999237060547,25.0,8543700
2024-12-04,25.25,25.75,25.0,25.25,6646600
2024-12-06,25.25,25.5,25.0,25.0,4356300
2024-12-09,24.899999618530273,25.0,24.200000762939453,25.0,25895400
2024-12-11,25.0,25.25,24.700000762939453,24.899999618530273,11673800
2024-12-12,24.799999237060547,25.25,24.700000762939453,25.0,20111700
2024-12-13,24.799999237060547,25.5,24.600000381469727,24.799999237060547,17197300
2024-12-16,24.299999237060547,24.799999237060547,24.299999237060547,24.799999237060547,10927100
2024-12-17,23.5,24.399999618530273,23.5,24.399999618530273,15350300
2024-12-18,24.0,24.100000381469727,22.899999618530273,23.5,25927900
2024-12-19,23.5,23.899999618530273,23.299999237060547,23.299999237060547,16732600
2024-12-20,22.600000381469727,23.600000381469727,22.399999618530273,23.5,32733300
2024-12-23,23.100000381469727,23.399999618530273,22.200000762939453,22.799999237060547,27777000
2024-12-24,24.100000381469727,24.399999618530273,23.200000762939453,23.200000762939453,22989600
2024-12-25,24.399999618530273,24.700000762939453,24.299999237060547,24.299999237060547,9504700
2024-12-26,23.799999237060547,24.600000381469727,23.600000381469727,24.399999618530273,11995300
2024-12-27,24.299999237060547,24.600000381469727,23.799999237060547,23.799999237060547,11576500
2024-12-30,24.399999618530273,24.799999237060547,24.200000762939453,24.399999618530273,9039500
2025-01-02,25.75,25.75,24.399999618530273,24.399999618530273,31898500
2025-01-03,25.5,26.25,25.25,26.0,8722200
2025-01-06,24.5,25.5,24.200000762939453,25.25,16414200
2025-01-07,24.899999618530273,25.25,24.5,24.600000381469727,11366600
2025-01-08,24.799999237060547,25.25,24.700000762939453,25.25,12633700
2025-01-09,23.299999237060547,24.799999237060547,23.0,24.799999237060547,22548000
2025-01-10,23.0,23.600000381469727,22.899999618530273,23.200000762939453,17379300
2025-01-13,22.799999237060547,23.600000381469727,22.299999237060547,22.799999237060547,29384200
2025-01-14,22.600000381469727,23.299999237060547,22.600000381469727,23.0,10875900
2025-01-15,23.0,23.700000762939453,22.5,22.799999237060547,29375400
2025-01-16,22.600000381469727,23.299999237060547,22.5,23.100000381469727,16587600
2025-01-17,21.5,22.700000762939453,21.299999237060547,22.5,39611700
2025-01-20,21.100000381469727,21.799999237060547,20.600000381469727,21.799999237060547,27231400
2025-01-21,21.399999618530273,21.600000381469727,20.899999618530273,21.299999237060547,25040400
2025-01-22,21.5,21.799999237060547,21.200000762939453,21.5,15559000
2025-01-23,20.700000762939453,21.5,20.700000762939453,21.399999618530273,13996600
2025-01-24,22.399999618530273,22.399999618530273,20.899999618530273,20.899999618530273,30852600
2025-01-27,22.200000762939453,22.600000381469727,22.0,22.200000762939453,11403100
2025-01-28,22.200000762939453,22.299999237060547,21.600000381469727,22.100000381469727,17996700
2025-01-29,21.799999237060547,22.299999237060547,21.700000762939453,22.100000381469727,5869500
2025-01-30,21.899999618530273,22.299999237060547,21.799999237060547,21.799999237060547,6948000
2025-01-31,21.5,22.100000381469727,21.299999237060547,22.0,10443700
2025-02-03,20.700000762939453,21.0,20.600000381469727,21.0,17015300
2025-02-04,20.100000381469727,21.0,20.0,20.799999237060547,28287800
2025-02-05,20.399999618530273,20.399999618530273,20.0,20.100000381469727,16981500
2025-02-06,19.600000381469727,20.5,19.600000381469727,20.399999618530273,15237400
2025-02-07,20.200000762939453,20.299999237060547,19.600000381469727,19.700000762939453,12241100
2025-02-10,19.600000381469727,20.0,19.399999618530273,19.600000381469727,13136900
2025-02-11,20.399999618530273,20.399999618530273,19.5,19.600000381469727,12299000
